WikidataID,WikidataFiestaURI,FiestaLabel,Location,WikidataLocation
Q20106425,http://www.wikidata.org/entity/Q20106425,Festa Major de les Corts,,
Q20106433,http://www.wikidata.org/entity/Q20106433,Festa Major del Camp d'en Grassot i de Gràcia Nova,,
Q20106436,http://www.wikidata.org/entity/Q20106436,Festa Major del Coll,,
Q20106450,http://www.wikidata.org/entity/Q20106450,Festes Majors d'Hivern de Sant Blai de la Fatarella,,
Q20106481,http://www.wikidata.org/entity/Q20106481,Festa Major de Torre Baró,,
Q20106650,http://www.wikidata.org/entity/Q20106650,Festa Major de la Trinitat Nova,,
Q20106670,http://www.wikidata.org/entity/Q20106670,Festa Major de les Roquetes,,
Q20106755,http://www.wikidata.org/entity/Q20106755,Festa Major de la Guineueta,,
Q20106794,http://www.wikidata.org/entity/Q20106794,Festa Major de Sant Genís dels Agudells,,
Q20107331,http://www.wikidata.org/entity/Q20107331,Festa Major de la Bordeta,,
Q20107766,http://www.wikidata.org/entity/Q20107766,Festa Major de Can Baró,,
Q20107785,http://www.wikidata.org/entity/Q20107785,Festa Major de Canyelles,,
Q20108096,http://www.wikidata.org/entity/Q20108096,Festa Major de la Sagrada Família,,
Q20108097,http://www.wikidata.org/entity/Q20108097,Festa Major de la Vila Olímpica,,
Q20108098,http://www.wikidata.org/entity/Q20108098,Fiesta Mayor de las Nieves de Villanueva y Geltrú,Villanueva y Geltrú,http://www.wikidata.org/entity/Q15553
Q20108299,http://www.wikidata.org/entity/Q20108299,Fiesta Mayor de Arbós,Arbós,http://www.wikidata.org/entity/Q1233527
Q20108749,http://www.wikidata.org/entity/Q20108749,Festa Major del Putget,,
Q20109092,http://www.wikidata.org/entity/Q20109092,Festa Major de Vallbona,,
Q20109116,http://www.wikidata.org/entity/Q20109116,Festa Major de Vilapicina i Torre Llobeta,,
Q23199370,http://www.wikidata.org/entity/Q23199370,Motín de Aranjuez,Aranjuez,http://www.wikidata.org/entity/Q486792
Q23309296,http://www.wikidata.org/entity/Q23309296,Fiestas del Santo,Santo Domingo de la Calzada,http://www.wikidata.org/entity/Q646564
Q23309493,http://www.wikidata.org/entity/Q23309493,Fiestas de Estella,Estella-Lizarra,http://www.wikidata.org/entity/Q646620
Q23309754,http://www.wikidata.org/entity/Q23309754,Fiestas de Nuestra Señora de la Asunción,La Alberca,http://www.wikidata.org/entity/Q1012961
Q23310065,http://www.wikidata.org/entity/Q23310065,Fiesta de las Candelas,Cea,http://www.wikidata.org/entity/Q137151
Q23449316,http://www.wikidata.org/entity/Q23449316,Romería de la Virgen de las Angustias,La Milla del Río,http://www.wikidata.org/entity/Q5964359
Q23449563,http://www.wikidata.org/entity/Q23449563,Romería de San Froilán,Valdorria,http://www.wikidata.org/entity/Q21546265
Q23452764,http://www.wikidata.org/entity/Q23452764,Fiestas del Cristo de los Remedios,San Sebastián de los Reyes,http://www.wikidata.org/entity/Q484717
Q23455600,http://www.wikidata.org/entity/Q23455600,Fiesta de San Sebastián,Villaviciosa de Odón,http://www.wikidata.org/entity/Q1631897
Q23459290,http://www.wikidata.org/entity/Q23459290,Fiestas de Nuestra Señora de los Santos y San Simón de Rojas,Móstoles,http://www.wikidata.org/entity/Q187826
Q23459345,http://www.wikidata.org/entity/Q23459345,Embarcación de la Virgen de la Alarilla,Fuentidueña de Tajo,http://www.wikidata.org/entity/Q1228889
Q23500667,http://www.wikidata.org/entity/Q23500667,festa de Sant Nicasi,,
Q23540271,http://www.wikidata.org/entity/Q23540271,Fiestas de San Sebastián,Lubrín,http://www.wikidata.org/entity/Q629609
Q23540407,http://www.wikidata.org/entity/Q23540407,Fiestas de San Sebastián,Olula del Río,http://www.wikidata.org/entity/Q1358205
Q23540583,http://www.wikidata.org/entity/Q23540583,Fiestas Aracelinatas,Lucena,http://www.wikidata.org/entity/Q504598
Q23540764,http://www.wikidata.org/entity/Q23540764,Fiesta de San Isidro Labrador,Estepona,http://www.wikidata.org/entity/Q492748
Q23541026,http://www.wikidata.org/entity/Q23541026,Fiesta en Honor a Nuestra Señora del Rosario,Carrión de los Céspedes,http://www.wikidata.org/entity/Q1447344
Q23541279,http://www.wikidata.org/entity/Q23541279,Fiestas de Nuestra Señora de Regla,Chipiona,http://www.wikidata.org/entity/Q741749
Q23541312,http://www.wikidata.org/entity/Q23541312,Fiestas del Santo Cristo y San Vicente Ferrer,Graus,http://www.wikidata.org/entity/Q937763
Q23640572,http://www.wikidata.org/entity/Q23640572,Fiestas mayores de Almansa,Almansa,http://www.wikidata.org/entity/Q13930
Q23641859,http://www.wikidata.org/entity/Q23641859,Fiesta de San Antonio,Matarraña,http://www.wikidata.org/entity/Q1544003
Q23641876,http://www.wikidata.org/entity/Q23641876,Fiestas de San Sebastián,Castelserás,http://www.wikidata.org/entity/Q932738
Q23641877,http://www.wikidata.org/entity/Q23641877,Fiesta de los Sanantones y la Encamisada,Estercuel,http://www.wikidata.org/entity/Q1651625
Q23641879,http://www.wikidata.org/entity/Q23641879,Fiestas de San Blas,Ateca,http://www.wikidata.org/entity/Q1628439
Q23647866,http://www.wikidata.org/entity/Q23647866,Fiestas de San Juan Evangelista y Santa Quiteria,Huete,http://www.wikidata.org/entity/Q1827689
Q23650275,http://www.wikidata.org/entity/Q23650275,Fiestas de Segorbe,Segorbe,http://www.wikidata.org/entity/Q750968
Q23650279,http://www.wikidata.org/entity/Q23650279,Fiestas de Nuestra Señora del Rosario,,
Q129226,http://www.wikidata.org/entity/Q129226,Feria del Caballo,Jerez de la Frontera,http://www.wikidata.org/entity/Q12303
Q815872,http://www.wikidata.org/entity/Q815872,Carnaval de Santa Cruz de Tenerife,Santa Cruz de Tenerife,http://www.wikidata.org/entity/Q14328
Q827695,http://www.wikidata.org/entity/Q827695,Tomatina,Buñol,http://www.wikidata.org/entity/Q853762
Q829919,http://www.wikidata.org/entity/Q829919,Sanfermines,,
Q1236370,http://www.wikidata.org/entity/Q1236370,Hogueras de Alicante,Alicante,http://www.wikidata.org/entity/Q11959
Q1324590,http://www.wikidata.org/entity/Q1324590,Romería de El Rocío,Almonte,http://www.wikidata.org/entity/Q736906
Q1469338,http://www.wikidata.org/entity/Q1469338,Semana Santa en Sevilla,Sevilla,http://www.wikidata.org/entity/Q8717
Q2115110,http://www.wikidata.org/entity/Q2115110,Misterio de Elche,Elche,http://www.wikidata.org/entity/Q10509
Q2356144,http://www.wikidata.org/entity/Q2356144,Rapa das bestas,Galicia,http://www.wikidata.org/entity/Q3908
Q2886090,http://www.wikidata.org/entity/Q2886090,Entierro de la Sardina en Murcia,Murcia,http://www.wikidata.org/entity/Q12225
Q2918983,http://www.wikidata.org/entity/Q2918983,Feria de Abril,Sevilla,http://www.wikidata.org/entity/Q8717
Q2939698,http://www.wikidata.org/entity/Q2939698,Carnaval de Cádiz,Cádiz,http://www.wikidata.org/entity/Q15682
Q3001481,http://www.wikidata.org/entity/Q3001481,Carreras de caballos de Sanlúcar,Sanlúcar de Barrameda,http://www.wikidata.org/entity/Q210887
Q3065313,http://www.wikidata.org/entity/Q3065313,Semana Santa en Vivero,Vivero,http://www.wikidata.org/entity/Q641221
Q3092923,http://www.wikidata.org/entity/Q3092923,Carthagineses y Romanos,Cartagena,http://www.wikidata.org/entity/Q162615
Q3327994,http://www.wikidata.org/entity/Q3327994,Procesión del Domingo de Ramos de Elche,Elche,http://www.wikidata.org/entity/Q10509
Q3328419,http://www.wikidata.org/entity/Q3328419,Festival de Ortigueira,Ortigueira,http://www.wikidata.org/entity/Q1375842
Q3397662,http://www.wikidata.org/entity/Q3397662,Entrada de toros y caballos,Segorbe,http://www.wikidata.org/entity/Q750968
Q3444111,http://www.wikidata.org/entity/Q3444111,Ruta del Tambor y el Bombo,Andorra (Teruel),http://www.wikidata.org/entity/Q492533
Q3444111,http://www.wikidata.org/entity/Q3444111,Ruta del Tambor y el Bombo,Alcañiz,http://www.wikidata.org/entity/Q572800
Q3444111,http://www.wikidata.org/entity/Q3444111,Ruta del Tambor y el Bombo,Urrea de Gaén,http://www.wikidata.org/entity/Q586120
Q3444111,http://www.wikidata.org/entity/Q3444111,Ruta del Tambor y el Bombo,Calanda,http://www.wikidata.org/entity/Q737161
Q3444111,http://www.wikidata.org/entity/Q3444111,Ruta del Tambor y el Bombo,Albalate del Arzobispo,http://www.wikidata.org/entity/Q956425
Q3444111,http://www.wikidata.org/entity/Q3444111,Ruta del Tambor y el Bombo,Alcorisa,http://www.wikidata.org/entity/Q1553847
Q3444111,http://www.wikidata.org/entity/Q3444111,Ruta del Tambor y el Bombo,Samper de Calanda,http://www.wikidata.org/entity/Q1641141
Q3444111,http://www.wikidata.org/entity/Q3444111,Ruta del Tambor y el Bombo,La Puebla de Híjar,http://www.wikidata.org/entity/Q1644852
Q3478355,http://www.wikidata.org/entity/Q3478355,Semana Santa en Palencia,Palencia,http://www.wikidata.org/entity/Q8378
Q5048232,http://www.wikidata.org/entity/Q5048232,Cascamorras,Guadix,http://www.wikidata.org/entity/Q244324
Q5048232,http://www.wikidata.org/entity/Q5048232,Cascamorras,Baza,http://www.wikidata.org/entity/Q490472
Q5429969,http://www.wikidata.org/entity/Q5429969,Feria de Albacete,Albacete,http://www.wikidata.org/entity/Q15095
Q5650710,http://www.wikidata.org/entity/Q5650710,Moros y Cristianos de Alcoy,Alcoy,http://www.wikidata.org/entity/Q494777
Q5685566,http://www.wikidata.org/entity/Q5685566,Semana Santa en Murcia,Murcia,http://www.wikidata.org/entity/Q12225
Q5719012,http://www.wikidata.org/entity/Q5719012,Bando de la Huerta,Murcia,http://www.wikidata.org/entity/Q12225
Q5752929,http://www.wikidata.org/entity/Q5752929,Carnaval de Águilas,Águilas,http://www.wikidata.org/entity/Q249941
Q5763483,http://www.wikidata.org/entity/Q5763483,Certamen Internacional de Habaneras y Polifonía de Torrevieja,Torrevieja,http://www.wikidata.org/entity/Q221749
Q5861338,http://www.wikidata.org/entity/Q5861338,Festival del Cante de las Minas,La Unión,http://www.wikidata.org/entity/Q1228759
